Age,Weight,Duration,Heart_Rate,Body_Temp,Calories
68,94.0,29.0,105.0,40.8,231.0
20,60.0,14.0,94.0,40.3,66.0
69,79.0,5.0,88.0,38.7,26.0
34,71.0,13.0,100.0,40.5,71.0
27,58.0,10.0,81.0,39.8,35.0
36,50.0,23.0,96.0,40.7,123.0
33,56.0,22.0,95.0,40.5,112.0
41,85.0,25.0,100.0,40.7,143.0
60,94.0,21.0,97.0,40.4,134.0
26,51.0,16.0,90.0,40.2,72.0
21,56.0,17.0,100.0,40.0,92.0
66,79.0,11.0,90.0,40.0,58.0
32,54.0,18.0,93.0,40.4,88.0
53,85.0,2.0,82.0,38.1,7.0
39,62.0,28.0,104.0,40.8,170.0
39,82.0,4.0,82.0,38.6,11.0
46,67.0,11.0,89.0,40.2,43.0
27,65.0,4.0,85.0,38.6,15.0
50,86.0,14.0,94.0,40.2,74.0
67,93.0,8.0,77.0,39.2,29.0
31,50.0,8.0,84.0,39.5,32.0
33,60.0,3.0,80.0,38.7,10.0
20,59.0,29.0,100.0,41.0,155.0
29,75.0,10.0,83.0,39.7,24.0
33,73.0,7.0,78.0,39.3,12.0
42,88.0,3.0,83.0,38.9,10.0
62,59.0,29.0,106.0,41.2,195.0
38,75.0,2.0,81.0,38.2,5.0
20,88.0,16.0,97.0,40.5,69.0
25,59.0,24.0,102.0,40.3,136.0
24,59.0,18.0,91.0,40.2,80.0
42,68.0,22.0,93.0,40.8,107.0
22,84.0,29.0,114.0,41.0,200.0
74,59.0,10.0,93.0,39.6,56.0
70,59.0,10.0,88.0,40.0,50.0
26,80.0,21.0,96.0,40.5,100.0
44,86.0,25.0,114.0,40.8,200.0
61,86.0,1.0,81.0,38.3,4.0
68,57.0,13.0,92.0,40.1,70.0
61,70.0,20.0,104.0,40.5,127.0
63,80.0,25.0,108.0,40.8,197.0
54,66.0,20.0,98.0,40.1,113.0
54,66.0,3.0,80.0,38.9,11.0
47,55.0,16.0,93.0,40.5,82.0
33,86.0,8.0,86.0,39.9,26.0
24,66.0,24.0,105.0,40.6,141.0
24,98.0,20.0,96.0,40.6,92.0
48,59.0,2.0,79.0,38.0,5.0
35,93.0,10.0,83.0,39.7,30.0
21,71.0,3.0,78.0,38.5,3.0
21,73.0,9.0,90.0,39.6,37.0
22,62.0,25.0,105.0,40.6,147.0
69,69.0,2.0,80.0,38.1,8.0
53,101.0,21.0,106.0,40.7,159.0
68,58.0,15.0,100.0,40.3,93.0
69,65.0,23.0,113.0,40.4,173.0
28,101.0,19.0,95.0,40.6,89.0
70,89.0,7.0,82.0,39.3,31.0
36,64.0,9.0,84.0,39.6,35.0
77,80.0,16.0,98.0,40.6,94.0
32,63.0,9.0,99.0,39.7,49.0
62,77.0,13.0,84.0,40.4,54.0
64,56.0,20.0,97.0,40.4,117.0
45,79.0,27.0,104.0,40.6,173.0
45,61.0,20.0,97.0,40.7,99.0
22,71.0,10.0,93.0,39.8,45.0
45,69.0,22.0,113.0,40.6,166.0
66,69.0,28.0,111.0,40.9,202.0
31,83.0,20.0,101.0,40.9,107.0
57,68.0,29.0,109.0,40.7,199.0
53,93.0,5.0,90.0,39.1,25.0
22,67.0,8.0,77.0,39.5,23.0
67,92.0,24.0,108.0,40.7,200.0
27,64.0,2.0,76.0,38.2,6.0
57,83.0,2.0,79.0,38.1,7.0
49,68.0,20.0,99.0,40.6,113.0
39,63.0,29.0,108.0,40.7,188.0
